,address,rent,scrape_date,houseno,sttype,stname,zipcode,address_id
172,"2418 Overhill Rd, Charlotte, NC 28211",12000,2023-02-25,2418,RD,OVERHILL,28211,2418_OVERHILL_RD_28211
364,"1107 Queens Rd, Charlotte, NC 28207",11000,2023-02-24,1107,RD,QUEENS,28207,1107_QUEENS_RD_28207
319,"4307 Calvet Ct, Charlotte, NC 28210",8000,2023-02-25,4307,CT,CALVET,28210,4307_CALVET_CT_28210
774,"4023 Arborway, Charlotte, NC 28211",7795,2023-02-25,4023,ARBORWAY,,28211,4023__ARBORWAY_28211
415,"4023 Arbor Way, Charlotte, NC 28211",7795,2023-02-24,4023,WAY,ARBOR,28211,4023_ARBOR_WAY_28211
112,"10301 Rougemont Ln, Charlotte, NC 28277",7500,2023-02-25,10301,LN,ROUGEMONT,28277,10301_ROUGEMONT_LN_28277
311,"2004 Bradford Hall Pl, Charlotte, NC 28270",7000,2023-02-24,2004,PL,BRADFORD HALL,28270,2004_BRADFORD HALL_PL_28270
515,"(undisclosed Address), Charlotte, NC 28207",6250,2023-02-25,(undisclosed,ADDRESS),,28207,(undisclosed__ADDRESS)_28207
586,"2304 Cumberland Ave, Charlotte, NC 28203",5750,2023-02-25,2304,AVE,CUMBERLAND,28203,2304_CUMBERLAND_AVE_28203
315,"8438 Newton Ln, Charlotte, NC 28277",5600,2023-02-25,8438,LN,NEWTON,28277,8438_NEWTON_LN_28277
266,"1436 Queens Rd W, Charlotte, NC 28207",5595,2023-02-24,1436,W,QUEENS RD,28207,1436_QUEENS RD_W_28207
226,"1204 Louise Ave, Charlotte, NC 28205",5500,2023-02-24,1204,AVE,LOUISE,28205,1204_LOUISE_AVE_28205
218,"16420 Woolwine Rd, Charlotte, NC 28278",5500,2023-02-25,16420,RD,WOOLWINE,28278,16420_WOOLWINE_RD_28278
365,"1000 W 4th Street Ext, Charlotte, NC 28202",5500,2023-02-25,1000,EXT,W 4TH STREET,28202,1000_W 4TH STREET_EXT_28202
178,"315 Arlington Ave, Charlotte, NC 28203",5500,2023-02-24,315,AVE,ARLINGTON,28203,315_ARLINGTON_AVE_28203
284,"1209 Ladera Dr, Waxhaw, NC 28173",5250,2023-02-24,1209,DR,LADERA,28173,1209_LADERA_DR_28173
537,"2615 Sharon Rd, Charlotte, NC 28211",5250,2023-02-24,2615,RD,SHARON,28211,2615_SHARON_RD_28211
279,"5523 Challis View Ln, Charlotte, NC 28226",5200,2023-02-24,5523,LN,CHALLIS VIEW,28226,5523_CHALLIS VIEW_LN_28226
619,"3228 Sharon Rd, Charlotte, NC 28211",5000,2023-02-24,3228,RD,SHARON,28211,3228_SHARON_RD_28211
354,"2216 Pembroke Ave, Charlotte, NC 28207",5000,2023-02-25,2216,AVE,PEMBROKE,28207,2216_PEMBROKE_AVE_28207
624,"245 W Kingston Ave, Charlotte, NC 28203",4975,2023-02-24,245,AVE,W KINGSTON,28203,245_W KINGSTON_AVE_28203
721,"20448 Greenway Heights Dr, Cornelius, NC 28031",4800,2023-02-25,20448,DR,GREENWAY HEIGHTS,28031,20448_GREENWAY HEIGHTS_DR_28031
297,"1319 Rama Rd, Charlotte, NC 28211",4500,2023-02-25,1319,RD,RAMA,28211,1319_RAMA_RD_28211
286,"8541 Bartlett Rd, Mint Hill, NC 28227",4500,2023-02-24,8541,RD,BARTLETT,28227,8541_BARTLETT_RD_28227
342,"4330 Brookfield Dr, Charlotte, NC 28210",4500,2023-02-25,4330,DR,BROOKFIELD,28210,4330_BROOKFIELD_DR_28210
644,"1239 Minter Pl, Charlotte, NC 28203",4300,2023-02-24,1239,PL,MINTER,28203,1239_MINTER_PL_28203
255,"18710 Cannon Crossing Way, Davidson, NC 28036",4300,2023-02-24,18710,WAY,CANNON CROSSING,28036,18710_CANNON CROSSING_WAY_28036
444,"16901 Youngblood Rd, Charlotte, NC 28278",4300,2023-02-25,16901,RD,YOUNGBLOOD,28278,16901_YOUNGBLOOD_RD_28278
367,"3404 Ritch Ave, Charlotte, NC 28206",4250,2023-02-24,3404,AVE,RITCH,28206,3404_RITCH_AVE_28206
538,"614 Ellsworth Rd, Charlotte, NC 28211",4200,2023-02-24,614,RD,ELLSWORTH,28211,614_ELLSWORTH_RD_28211
307,"1121 Charles Ave, Charlotte, NC 28205",4200,2023-02-25,1121,AVE,CHARLES,28205,1121_CHARLES_AVE_28205
86,"10836 Fox Hedge Rd, Matthews, NC 28105",4195,2023-02-25,10836,RD,FOX HEDGE,28105,10836_FOX HEDGE_RD_28105
344,"3910 Windwood Cir, Charlotte, NC 28226",4000,2023-02-24,3910,CIR,WINDWOOD,28226,3910_WINDWOOD_CIR_28226
174,"4641 Murrayhill Rd, Charlotte, NC 28209",4000,2023-02-25,4641,RD,MURRAYHILL,28209,4641_MURRAYHILL_RD_28209
317,"1546 Wilmore Dr, Charlotte, NC 28203",4000,2023-02-25,1546,DR,WILMORE,28203,1546_WILMORE_DR_28203
424,"7429 Basie Park Ct, Charlotte, NC 28277",4000,2023-02-24,7429,CT,BASIE PARK,28277,7429_BASIE PARK_CT_28277
450,"504 Iverson Way, Charlotte, NC 28203",4000,2023-02-25,504,WAY,IVERSON,28203,504_IVERSON_WAY_28203
242,"6610 Sardis Rd, Charlotte, NC 28270",4000,2023-02-24,6610,RD,SARDIS,28270,6610_SARDIS_RD_28270
442,"715 N Graham St, Charlotte, NC 28202",4000,2023-02-24,715,ST,N GRAHAM,28202,715_N GRAHAM_ST_28202
589,"804 E 35th St, Charlotte, NC 28205",3950,2023-02-25,804,ST,E 35TH,28205,804_E 35TH_ST_28205
544,"14914 Bagley Ln, Charlotte, NC 28227",3895,2023-02-25,14914,LN,BAGLEY,28227,14914_BAGLEY_LN_28227
618,"4821 Blanchard Wy, Charlotte, NC 28226",3800,2023-02-24,4821,WY,BLANCHARD,28226,4821_BLANCHARD_WY_28226
603,"4235 Raney Way, Charlotte, NC 28205",3800,2023-02-25,4235,WAY,RANEY,28205,4235_RANEY_WAY_28205
694,"1425 Bristol Place Ct, Charlotte, NC 28226",3795,2023-02-25,1425,CT,BRISTOL PLACE,28226,1425_BRISTOL PLACE_CT_28226
304,"8001 Denholme Dr, Waxhaw, NC 28173",3750,2023-02-24,8001,DR,DENHOLME,28173,8001_DENHOLME_DR_28173
388,"1337 Cavendish Ct, Charlotte, NC 28211",3750,2023-02-24,1337,CT,CAVENDISH,28211,1337_CAVENDISH_CT_28211
316,"3808 Severn Ave, Charlotte, NC 28210",3750,2023-02-25,3808,AVE,SEVERN,28210,3808_SEVERN_AVE_28210
629,"3100 Sea Island Ln, Harrisburg, NC 28075",3750,2023-02-24,3100,LN,SEA ISLAND,28075,3100_SEA ISLAND_LN_28075
348,"616 Sweetgum Ln, Charlotte, NC 28211",3700,2023-02-24,616,LN,SWEETGUM,28211,616_SWEETGUM_LN_28211
768,"6101 Lansing Dr, Charlotte, NC 28270",3700,2023-02-25,6101,DR,LANSING,28270,6101_LANSING_DR_28270
577,"7015 Foxglove Dr, Charlotte, NC 28226",3600,2023-02-25,7015,DR,FOXGLOVE,28226,7015_FOXGLOVE_DR_28226
592,"2538 Arnold Dr, Charlotte, NC 28205",3600,2023-02-25,2538,DR,ARNOLD,28205,2538_ARNOLD_DR_28205
533,"1328 Ordermore Ave UNIT 6, Charlotte, NC 28203",3600,2023-02-25,1328,6,ORDERMORE AVE UNIT,28203,1328_ORDERMORE AVE UNIT_6_28203
584,"1328 Ordermore Ave, Charlotte, NC 28203",3600,2023-02-24,1328,AVE,ORDERMORE,28203,1328_ORDERMORE_AVE_28203
610,"13103 Petrel Pl, Charlotte, NC 28278",3595,2023-02-24,13103,PL,PETREL,28278,13103_PETREL_PL_28278
636,"3301 Archdale Dr, Charlotte, NC 28210",3585,2023-02-24,3301,DR,ARCHDALE,28210,3301_ARCHDALE_DR_28210
379,"11227 Whimbrel Ct, Charlotte, NC 28278",3550,2023-02-24,11227,CT,WHIMBREL,28278,11227_WHIMBREL_CT_28278
466,"1340 Downs Ave, Charlotte, NC 28205",3550,2023-02-24,1340,AVE,DOWNS,28205,1340_DOWNS_AVE_28205
493,"4129 Bearwood Ave, Charlotte, NC 28205",3550,2023-02-25,4129,AVE,BEARWOOD,28205,4129_BEARWOOD_AVE_28205
274,"3815 Burnage Hall Rd, Harrisburg, NC 28075",3520,2023-02-24,3815,RD,BURNAGE HALL,28075,3815_BURNAGE HALL_RD_28075
412,"2622 Idlewood Cir, Charlotte, NC 28209",3500,2023-02-24,2622,CIR,IDLEWOOD,28209,2622_IDLEWOOD_CIR_28209
625,"2713 Twinberry Lane, Waxhaw, NC 28173",3500,2023-02-24,2713,LANE,TWINBERRY,28173,2713_TWINBERRY_LANE_28173
232,"6020 Doncaster Dr, Charlotte, NC 28211",3500,2023-02-25,6020,DR,DONCASTER,28211,6020_DONCASTER_DR_28211
673,"2225 Winter St, Charlotte, NC 28205",3500,2023-02-25,2225,ST,WINTER,28205,2225_WINTER_ST_28205
235,"3512 Warp Street, Charlotte, NC 28205",3500,2023-02-24,3512,STREET,WARP,28205,3512_WARP_STREET_28205
427,"3512 Warp St, Charlotte, NC 28205",3500,2023-02-25,3512,ST,WARP,28205,3512_WARP_ST_28205
3,"7818 Village Harbor Dr, Cornelius, NC 28031",3500,2023-02-25,7818,DR,VILLAGE HARBOR,28031,7818_VILLAGE HARBOR_DR_28031
545,"2424 Shenandoah Ave, Charlotte, NC 28205",3500,2023-02-25,2424,AVE,SHENANDOAH,28205,2424_SHENANDOAH_AVE_28205
192,"4614 Murrayhill Rd, Charlotte, NC 28209",3400,2023-02-25,4614,RD,MURRAYHILL,28209,4614_MURRAYHILL_RD_28209
580,"1202 South St, Cornelius, NC 28031",3400,2023-02-25,1202,ST,SOUTH,28031,1202_SOUTH_ST_28031
450,"243 Sycamore Creek Rd, Fort Mill, SC 29708",3395,2023-02-24,243,RD,SYCAMORE CREEK,29708,243_SYCAMORE CREEK_RD_29708
313,"1771 Invermere Ave, Huntersville, NC 28078",3300,2023-02-25,1771,AVE,INVERMERE,28078,1771_INVERMERE_AVE_28078
431,"3831 Plainview Rd, Charlotte, NC 28208",3300,2023-02-25,3831,RD,PLAINVIEW,28208,3831_PLAINVIEW_RD_28208
183,"17002 Dogwood Crk Ln, Charlotte, NC 28278",3300,2023-02-24,17002,LN,DOGWOOD CRK,28278,17002_DOGWOOD CRK_LN_28278
489,"10422 Stonemede Ln, Matthews, NC 28105",3295,2023-02-25,10422,LN,STONEMEDE,28105,10422_STONEMEDE_LN_28105
575,"10319 Merlin Meadows Ct, Charlotte, NC 28277",3275,2023-02-25,10319,CT,MERLIN MEADOWS,28277,10319_MERLIN MEADOWS_CT_28277
435,"8135 Dumphries Dr, Huntersville, NC 28078",3250,2023-02-24,8135,DR,DUMPHRIES,28078,8135_DUMPHRIES_DR_28078
484,"9116 Gladden Hill Ln, Pineville, NC 28134",3250,2023-02-24,9116,LN,GLADDEN HILL,28134,9116_GLADDEN HILL_LN_28134
652,"7516 Swinford Pl, Charlotte, NC 28270",3250,2023-02-24,7516,PL,SWINFORD,28270,7516_SWINFORD_PL_28270
362,"4642 Murrayhill Rd, Charlotte, NC 28209",3250,2023-02-24,4642,RD,MURRAYHILL,28209,4642_MURRAYHILL_RD_28209
541,"400 N Church St, Charlotte, NC 28202",3250,2023-02-24,400,ST,N CHURCH,28202,400_N CHURCH_ST_28202
183,"1609 Ervin Ln, Pineville, NC 28134",3245,2023-02-25,1609,LN,ERVIN,28134,1609_ERVIN_LN_28134
275,"5030 Farmland Rd, Charlotte, NC 28226",3200,2023-02-25,5030,RD,FARMLAND,28226,5030_FARMLAND_RD_28226
298,"5516 Sharon Rd, Charlotte, NC 28210",3200,2023-02-25,5516,RD,SHARON,28210,5516_SHARON_RD_28210
194,"932 Poindexter Dr, Charlotte, NC 28209",3200,2023-02-24,932,DR,POINDEXTER,28209,932_POINDEXTER_DR_28209
311,"1915 Baxter St, Charlotte, NC 28204",3200,2023-02-25,1915,ST,BAXTER,28204,1915_BAXTER_ST_28204
430,"820 Brannons Trail Dr, Fort Mill, SC 29708",3200,2023-02-24,820,DR,BRANNONS TRAIL,29708,820_BRANNONS TRAIL_DR_29708
188,"1615 Scott Ave, Charlotte, NC 28203",3200,2023-02-25,1615,AVE,SCOTT,28203,1615_SCOTT_AVE_28203
495,"10105 Community House Rd, Charlotte, NC 28277",3200,2023-02-25,10105,RD,COMMUNITY HOUSE,28277,10105_COMMUNITY HOUSE_RD_28277
490,"621 Regency Dr, Charlotte, NC 28211",3200,2023-02-25,621,DR,REGENCY,28211,621_REGENCY_DR_28211
170,"18209 Kalabash Rd, Charlotte, NC 28278",3200,2023-02-25,18209,RD,KALABASH,28278,18209_KALABASH_RD_28278
504,"5733 Connor Blvd, Charlotte, NC 28226",3195,2023-02-25,5733,BLVD,CONNOR,28226,5733_CONNOR_BLVD_28226
600,"1522 Ervin Ln, Pineville, NC 28134",3195,2023-02-24,1522,LN,ERVIN,28134,1522_ERVIN_LN_28134
432,"13926 Tilesford Ln, Huntersville, NC 28078",3195,2023-02-25,13926,LN,TILESFORD,28078,13926_TILESFORD_LN_28078
288,"3602 French Woods Rd, Charlotte, NC 28269",3195,2023-02-24,3602,RD,FRENCH WOODS,28269,3602_FRENCH WOODS_RD_28269
4,"9530 China Grove Church Rd, Pineville, NC 28134",3195,2023-02-25,9530,RD,CHINA GROVE CHURCH,28134,9530_CHINA GROVE CHURCH_RD_28134
363,"4908 Rankin Pl, Charlotte, NC 28277",3195,2023-02-24,4908,PL,RANKIN,28277,4908_RANKIN_PL_28277
196,"621 Cherry St, Charlotte, NC 28204",3195,2023-02-25,621,ST,CHERRY,28204,621_CHERRY_ST_28204
1,"9420 China Grove Church Rd, Charlotte, NC 28134",3170,2023-02-25,9420,RD,CHINA GROVE CHURCH,28134,9420_CHINA GROVE CHURCH_RD_28134
598,"9412 China Grove Church Rd, Pineville, NC 28134",3170,2023-02-24,9412,RD,CHINA GROVE CHURCH,28134,9412_CHINA GROVE CHURCH_RD_28134
283,"9514 China Grove Church Rd, Charlotte, NC 28134",3170,2023-02-25,9514,RD,CHINA GROVE CHURCH,28134,9514_CHINA GROVE CHURCH_RD_28134
303,"9428 Yandle Ln, Charlotte, NC 28134",3170,2023-02-25,9428,LN,YANDLE,28134,9428_YANDLE_LN_28134
4,"9303 John Russell Rd, Charlotte, NC 28215",3150,2023-02-24,9303,RD,JOHN RUSSELL,28215,9303_JOHN RUSSELL_RD_28215
572,"16008 Cleveleys Trail, Huntersville, NC 28078",3150,2023-02-24,16008,TRAIL,CLEVELEYS,28078,16008_CLEVELEYS_TRAIL_28078
290,"3200 Highview Rd, Charlotte, NC 28210",3100,2023-02-24,3200,RD,HIGHVIEW,28210,3200_HIGHVIEW_RD_28210
382,"1706 Spears Dr NW, Concord, NC 28027",3100,2023-02-24,1706,NW,SPEARS DR,28027,1706_SPEARS DR_NW_28027
332,"6514 Del Rio Rd, Charlotte, NC 28277",3099,2023-02-25,6514,RD,DEL RIO,28277,6514_DEL RIO_RD_28277
18,"13127 Greencreek Dr, Charlotte, NC 28273",3040,2023-02-25,13127,DR,GREENCREEK,28273,13127_GREENCREEK_DR_28273
527,"11423 Donnel Ct, Charlotte, NC 28273",3025,2023-02-24,11423,CT,DONNEL,28273,11423_DONNEL_CT_28273
594,"6618 Castlegate Dr, Charlotte, NC 28226",3000,2023-02-24,6618,DR,CASTLEGATE,28226,6618_CASTLEGATE_DR_28226
725,"12803 Windy Lea Ln, Huntersville, NC 28078",3000,2023-02-25,12803,LN,WINDY LEA,28078,12803_WINDY LEA_LN_28078
293,"9906 Steele Meadow Rd, Charlotte, NC 28273",3000,2023-02-24,9906,RD,STEELE MEADOW,28273,9906_STEELE MEADOW_RD_28273
559,"411 Horseshoe Dr, Mount Holly, NC 28120",3000,2023-02-24,411,DR,HORSESHOE,28120,411_HORSESHOE_DR_28120
164,"6116 Robinson Church Rd, Charlotte, NC 28215",3000,2023-02-25,6116,RD,ROBINSON CHURCH,28215,6116_ROBINSON CHURCH_RD_28215
426,"2139 Mallard Green Pl, Charlotte, NC 28262",3000,2023-02-25,2139,PL,MALLARD GREEN,28262,2139_MALLARD GREEN_PL_28262
676,"10932 Copper Field Dr, Pineville, NC 28134",3000,2023-02-25,10932,DR,COPPER FIELD,28134,10932_COPPER FIELD_DR_28134
84,"5266 Cambridge Bay Dr, Charlotte, NC 28269",3000,2023-02-25,5266,DR,CAMBRIDGE BAY,28269,5266_CAMBRIDGE BAY_DR_28269
409,"6807 Ridge Haven Ln, Charlotte, NC 28277",2995,2023-02-24,6807,LN,RIDGE HAVEN,28277,6807_RIDGE HAVEN_LN_28277
179,"9706 Ardrey Woods Dr, Charlotte, NC 28277",2995,2023-02-25,9706,DR,ARDREY WOODS,28277,9706_ARDREY WOODS_DR_28277
184,"1529 Ervin Ln, Charlotte, NC 28134",2995,2023-02-25,1529,LN,ERVIN,28134,1529_ERVIN_LN_28134
416,"8332 Willow Branch Dr, Waxhaw, NC 28173",2995,2023-02-24,8332,DR,WILLOW BRANCH,28173,8332_WILLOW BRANCH_DR_28173
627,"1317 Middlecrest Dr NW, Concord, NC 28027",2990,2023-02-24,1317,NW,MIDDLECREST DR,28027,1317_MIDDLECREST DR_NW_28027
211,"2038 Tyvola Rd, Charlotte, NC 28210",2980,2023-02-25,2038,RD,TYVOLA,28210,2038_TYVOLA_RD_28210
525,"11720 Cricketfield Ct, Charlotte, NC 28277",2950,2023-02-25,11720,CT,CRICKETFIELD,28277,11720_CRICKETFIELD_CT_28277
181,"641 Dorothy Dr, Charlotte, NC 28203",2950,2023-02-25,641,DR,DOROTHY,28203,641_DOROTHY_DR_28203
812,"4442 Coventry Row Ct, Charlotte, NC 28270",2950,2023-02-25,4442,CT,COVENTRY ROW,28270,4442_COVENTRY ROW_CT_28270
221,"701 Belton St, Charlotte, NC 28209",2950,2023-02-25,701,ST,BELTON,28209,701_BELTON_ST_28209
622,"4810 Meadowridge Dr, Charlotte, NC 28226",2950,2023-02-24,4810,DR,MEADOWRIDGE,28226,4810_MEADOWRIDGE_DR_28226
356,"(undisclosed Address), Charlotte, NC 28204",2900,2023-02-25,(undisclosed,ADDRESS),,28204,(undisclosed__ADDRESS)_28204
630,"5011 King Arthur Dr, Charlotte, NC 28277",2900,2023-02-24,5011,DR,KING ARTHUR,28277,5011_KING ARTHUR_DR_28277
445,"992 Bellegray Ln NW, Concord, NC 28027",2900,2023-02-24,992,NW,BELLEGRAY LN,28027,992_BELLEGRAY LN_NW_28027
369,"6429 Raffia Rd, Charlotte, NC 28277",2900,2023-02-24,6429,RD,RAFFIA,28277,6429_RAFFIA_RD_28277
715,"9602 Garland Ct, Charlotte, NC 28277",2900,2023-02-25,9602,CT,GARLAND,28277,9602_GARLAND_CT_28277
517,"20021 Verlaine Dr, Davidson, NC 28036",2900,2023-02-25,20021,DR,VERLAINE,28036,20021_VERLAINE_DR_28036
641,"5008 Clover Hill Rd, Indian Trail, NC 28079",2900,2023-02-24,5008,RD,CLOVER HILL,28079,5008_CLOVER HILL_RD_28079
159,"2301 Remount Rd, Charlotte, NC 28208",2895,2023-02-25,2301,RD,REMOUNT,28208,2301_REMOUNT_RD_28208
477,"5711 Castlecove Rd, Charlotte, NC 28273",2895,2023-02-24,5711,RD,CASTLECOVE,28273,5711_CASTLECOVE_RD_28273
381,"7213 Baniff Cir, Charlotte, NC 28277",2895,2023-02-24,7213,CIR,BANIFF,28277,7213_BANIFF_CIR_28277
276,"6300 Adobe Rd, Charlotte, NC 28277",2895,2023-02-24,6300,RD,ADOBE,28277,6300_ADOBE_RD_28277
2,"6309 Coatbridge Ln, Charlotte, NC 28212",2895,2023-02-25,6309,LN,COATBRIDGE,28212,6309_COATBRIDGE_LN_28212
303,"12407 Hunting Birds Ln, Charlotte, NC 28278",2895,2023-02-24,12407,LN,HUNTING BIRDS,28278,12407_HUNTING BIRDS_LN_28278
489,"10313 Solar Way, Charlotte, NC 28278",2895,2023-02-24,10313,WAY,SOLAR,28278,10313_SOLAR_WAY_28278
0,"8416 Angwin Pl, Charlotte, NC 28262",2890,2023-02-24,8416,PL,ANGWIN,28262,8416_ANGWIN_PL_28262
397,"8308 Cutters Spring Drive, Waxhaw, NC 28173",2850,2023-02-24,8308,DRIVE,CUTTERS SPRING,28173,8308_CUTTERS SPRING_DRIVE_28173
475,"8016 Sandowne Ln, Huntersville, NC 28078",2850,2023-02-25,8016,LN,SANDOWNE,28078,8016_SANDOWNE_LN_28078
314,"7518 Blackgum Falls Ct, Huntersville, NC 28078",2850,2023-02-25,7518,CT,BLACKGUM FALLS,28078,7518_BLACKGUM FALLS_CT_28078
384,"9819 Hazelview Dr, Charlotte, NC 28277",2845,2023-02-25,9819,DR,HAZELVIEW,28277,9819_HAZELVIEW_DR_28277
693,"8137 Kalson St, Huntersville, NC 28078",2840,2023-02-25,8137,ST,KALSON,28078,8137_KALSON_ST_28078
